gene	value	_selected
RNF14	-0.170562487334	0
HIF3A	-5.71533585158	0
RNF17	-20.1292299843	0
RNF10	0.244736286757	0
RNF11	-1.08609138251	0
RNF13	-1.17085781292	0
REM1	-0.328242074205	0
REM2	1.28030297312	0
C16orf13	1.20971337677	0
UBE2Q2	0.264508831006	0
TSKS	0.471017340411	0
ATRX	-1.222158163	0
PMM2	0.326841399086	0
PMM1	0.0915750950801	0
ASS1	-2.34624260566	0
NCBP1	0.221838277862	0
ZNF709	0.179699242115	0
ZNF708	-0.238067496803	0
DISC1	-1.07329126877	0
CAMK1	-1.20954485938	0
RPL37	0.286780701054	0
SPR	0.313372348563	0
ZNF707	1.79252301484	0
CAMK4	1.06831012962	0
ZC3H10	0.540103437823	0
RNF114	-0.243005408483	0
RNF115	0.193736671919	0
ZC3H15	-0.10419028383	0
ZC3H14	-0.26789342677	0
SPN	0.953761090289	0
RNF111	-0.818423144021	0
NACAP1	0.296249393094	0
ZC3H18	-0.0633405510883	0
GRIN1	-1.41718043644	0
DHX8	-0.189190106605	0
DHX9	0.0559916317592	0
TCOF1	0.187576492865	0
NUP98	-0.350317223798	0
XPC	-0.0402001250227	0
SP1	-0.43239498357	0
SP2	-0.244313353118	0
SP3	-0.485010905676	0
NUP93	-0.179056409513	0
SP5	-0.275870247686	0
KLRA1	-1.19508562783	0
CAMKV	-20.4715733306	0
SPPL3	0.234583538296	0
GOLIM4	-0.413264265342	0
OPA3	0.163775309105	0
OPA1	-0.901391198063	0
RAB40C	0.865271368034	0
RAB40B	-0.444750441749	0
RAB40A	0.162806201497	0
COL7A1	0.650907606058	0
GTSE1	1.37028936264	0
B2M	0.154395629041	0
WIF1	-5.46048683043	0
KIAA0831	-0.321573616282	0
SPPL2A	-0.683330782862	0
ITGA8	-1.31740948174	0
ITGA9	-2.17285539574	0
STK40	-0.513945091092	0
MYO3B	0.11498955625	0
ATP2A1	-10.3010050231	0
ATP2A2	-0.826246831058	0
ATP2A3	0.439811238361	0
ITGA1	-2.08248516698	0
ITGA2	-0.827808171206	0
ITGA3	-0.554053687824	0
ITGA4	-0.221497110096	0
ITGA5	0.35838253135	0
ITGA6	-1.78877764629	0
ITGA7	-3.82228755542	0
TRHR	-17.9801334106	0
DENND4A	-1.39176387185	0
SWAP70	-1.03777183292	0
PHLDA1	-1.73282521671	0
PHLDA3	-0.319235374611	0
UFSP2	-0.554237279774	0
GAP43	-0.774021947565	0
NENF	0.614004117012	0
FBXL13	-0.389951403327	0
FBXL12	0.457548656431	0
FBXL15	1.44630298017	0
FBXL14	-0.484496317354	0
FBXL17	-0.858587594037	0
FBXL16	1.42976744016	0
FAM169A	-1.21302017536	0
FAM116B	1.37476399637	0
PHYHIPL	-2.16080300579	0
H19	0.945703662517	0
SDK2	-2.48970726999	0
GRP	1.72098114491	0
TPRN	2.28883656609	0
ZFP161	-0.121313180651	0
COL4A6	-2.14347970413	0
COL4A5	0.876763842823	0
COL4A3	-3.34285385175	0
COL4A2	-0.64858428103	0
COL4A1	-0.846987947347	0
CHST1	2.9036247301	0
CHST3	-1.3263486456	0
CHST4	-1.33918747725	0
ITGAX	1.64907150255	0
BCL2A1	0.207081115293	0
HLCS	-0.0608935870356	0
NOG	-0.269044726185	0
ITGAV	-0.378075157722	0
LGTN	-0.236565071396	0
ZNF703	2.37962184847	0
ITGAL	0.737317326061	0
ITGAM	0.138469922031	0
